Bone,meanGL,SD-GL,Smoothness,ThirdMoment,Uniformity,Entropy,CategoriaDoOsso
101,213.4744,4.210660832,0.000272585,-0.000440165,0.068696627,4.089699809,1
103,243.0262323,1.738603904,4.65E-05,-8.06E-06,0.157022012,2.825259609,1
104,206.014857,4.204519448,0.000271791,0.000486194,0.072401392,4.073329431,1
105,243.7134965,4.855879732,0.000362492,0.00012825,0.057130981,4.299114349,1
107,212.1462745,7.406447631,0.000842895,-0.000156608,0.037600038,4.848049996,1
112,232.5483671,7.579047156,0.000882603,-0.001706627,0.039185484,4.921527665,1
113,193.9385417,7.829085896,0.000941743,-8.08E-05,0.036709671,4.982916317,1
114,191.2068966,4.909452631,0.000370531,0.000577302,0.05902397,4.321403863,1
117,239.9152893,4.42588474,0.000301154,0.000179654,0.0627516,4.168023422,1
118,238.430643,6.154001023,0.000582079,0.000471955,0.045953878,4.626512403,1
119,207.2282609,3.370875407,0.000174715,2.57E-05,0.083176129,3.786790472,1
121,190.6433087,5.773213098,0.000512309,-3.64E-05,0.048808629,4.561454732,1
123,197.2003205,5.847358588,0.000525546,6.29E-05,0.047684757,4.578642347,1
125,222.5761633,7.256249621,0.000809082,0.000361772,0.038956381,4.888093785,1
128,168.7723426,8.43137653,0.001092049,0.00122135,0.033250667,5.066035814,1
129,220.930782,4.175279615,0.000268024,-0.000205104,0.066844664,4.095193722,1
130,195.3074883,8.907745079,0.001218781,0.004658228,0.034107324,5.051344586,1
301,214.3537634,3.938167376,0.000238454,0.00028772,0.074195861,3.913463955,3
302,218.0085034,4.938646962,0.000374949,0.000757643,0.059036071,4.253724048,3
303,228.7668605,1.916499814,5.65E-05,-2.27E-05,0.145697918,2.971719289,3
305,236.0046491,3.307285334,0.000168186,-0.000177568,0.087031471,3.744079379,3
306,219.3981718,2.559671547,0.00010075,7.50E-05,0.109038859,3.366222564,3
307,224.3015585,2.767484749,0.000117771,3.20E-05,0.099830476,3.491859476,3
310,209.0303442,2.836179858,0.00012369,4.20E-05,0.098961057,3.544115172,3
312,222.6867025,4.979258817,0.000381139,0.001164086,0.062121288,4.269997653,3
313,192.6731151,3.873564944,0.000230697,0.000484092,0.083386203,3.767933538,3
314,216.362532,2.783611655,0.000119148,-2.88E-05,0.100019787,3.515519656,3
315,222.166042,2.873006125,0.000126922,-0.000187167,0.103121009,3.449269238,3
316,248.6752362,1.298477466,2.59E-05,-2.96E-06,0.217633806,2.419349561,3
317,212.7893651,3.33861988,0.000171388,-5.04E-05,0.084424409,3.768404369,3
319,173.6389757,6.23534614,0.00059756,0.001278255,0.045124323,4.638150071,3
320,215.5596102,3.889853254,0.00023264,0.000151585,0.070405328,3.980731036,3
321,218.2921371,3.12045796,0.000149724,6.07E-05,0.088598039,3.674501841,3
322,221.5322037,1.998534895,6.14E-05,2.51E-05,0.140679397,3.036436669,3
323,231.1877064,2.704870779,0.000112503,5.56E-05,0.104536487,3.460731833,3
324,232.0502941,2.429560582,9.08E-05,8.19E-05,0.116862587,3.302636551,3
325,223.392433,3.751105983,0.000216344,-5.45E-05,0.076103594,3.93917694,3
326,229.1944863,4.15895865,0.000265934,-0.000140707,0.066208397,4.081164695,3
327,224.3607456,1.664246497,4.26E-05,4.94E-05,0.178345741,2.73017788,3
328,232.4034574,3.062540565,0.000144218,-9.60E-05,0.094659442,3.635123859,3
330,232.3633925,3.05482689,0.000143493,-0.000108097,0.090779295,3.624814125,3
331,224.7399346,3.158515825,0.000153398,0.000269889,0.092769302,3.661284452,3
333,229.5651076,3.277561233,0.000165177,-5.97E-05,0.084868673,3.736965994,3
334,235.5303826,2.0932893,6.74E-05,-1.10E-05,0.134397503,3.099724556,3
335,215.8582699,3.003409098,0.000138704,7.98E-05,0.092841551,3.622905134,3
337,210.3813706,3.127066126,0.000150359,1.23E-05,0.088629676,3.674136234,3
338,206.3250815,4.838621149,0.00035992,2.00E-05,0.057190568,4.294766763,3
339,232.6335993,2.021046146,6.28E-05,-2.30E-05,0.137663967,3.033996952,3
